# Dend2 Dend3   Potential
4.000000000000000000e+00 3.000000000000000000e+00 -6.462399438862421164e+01
4.000000000000000000e+00 4.000000000000000000e+00 -6.381080044105314641e+01
4.000000000000000000e+00 5.000000000000000000e+00 -6.301772616927672033e+01
4.000000000000000000e+00 6.000000000000000000e+00 -6.223241025649919322e+01
4.000000000000000000e+00 7.000000000000000000e+00 -6.144443404769289430e+01
4.000000000000000000e+00 8.000000000000000000e+00 -6.063471107325194254e+01
4.000000000000000000e+00 9.000000000000000000e+00 -5.977178259078651479e+01
4.000000000000000000e+00 1.000000000000000000e+01 -5.879675132092235401e+01
4.000000000000000000e+00 1.100000000000000000e+01 -5.756143263016957690e+01
4.000000000000000000e+00 1.200000000000000000e+01 -5.529279072242093207e+01
4.000000000000000000e+00 1.300000000000000000e+01 2.076909162147734378e+01
4.000000000000000000e+00 1.400000000000000000e+01 2.358017044625495018e+01
4.000000000000000000e+00 1.500000000000000000e+01 2.497603064056266575e+01
4.000000000000000000e+00 1.600000000000000000e+01 2.588421460386058115e+01
4.000000000000000000e+00 1.700000000000000000e+01 2.654603338638012033e+01
4.000000000000000000e+00 1.800000000000000000e+01 2.706132798608292234e+01
4.000000000000000000e+00 1.900000000000000000e+01 2.747342889932469845e+01
4.000000000000000000e+00 2.000000000000000000e+01 2.781673499762654700e+01
4.000000000000000000e+00 2.100000000000000000e+01 2.810611316478215826e+01
4.000000000000000000e+00 2.200000000000000000e+01 2.835320195843923585e+01
4.000000000000000000e+00 2.300000000000000000e+01 2.856968417889945400e+01
4.000000000000000000e+00 2.400000000000000000e+01 2.876033446722328080e+01
4.000000000000000000e+00 2.500000000000000000e+01 2.892892274690617782e+01
4.000000000000000000e+00 2.600000000000000000e+01 2.908136714930719791e+01
4.000000000000000000e+00 2.700000000000000000e+01 2.921498938045790084e+01
4.000000000000000000e+00 2.800000000000000000e+01 2.933921486107216126e+01
4.000000000000000000e+00 2.900000000000000000e+01 2.945053296477476579e+01
5.000000000000000000e+00 0.000000000000000000e+00 -6.676123024049641685e+01
5.000000000000000000e+00 1.000000000000000000e+00 -6.583931695363413894e+01
5.000000000000000000e+00 2.000000000000000000e+00 -6.496062300436986447e+01
5.000000000000000000e+00 3.000000000000000000e+00 -6.411462212809382777e+01
5.000000000000000000e+00 4.000000000000000000e+00 -6.329273656382370916e+01
5.000000000000000000e+00 5.000000000000000000e+00 -6.248461535841119741e+01
5.000000000000000000e+00 6.000000000000000000e+00 -6.167677463823183359e+01
5.000000000000000000e+00 7.000000000000000000e+00 -6.084968953345175890e+01
5.000000000000000000e+00 8.000000000000000000e+00 -5.997235128461655052e+01
5.000000000000000000e+00 9.000000000000000000e+00 -5.899086780410469544e+01
5.000000000000000000e+00 1.000000000000000000e+01 -5.777204781885478724e+01
5.000000000000000000e+00 1.100000000000000000e+01 -5.568375369857896828e+01
5.000000000000000000e+00 1.200000000000000000e+01 2.055708647185700499e+01
5.000000000000000000e+00 1.300000000000000000e+01 2.361855065244225926e+01
5.000000000000000000e+00 1.400000000000000000e+01 2.507143015905726458e+01
